"","airport"
"1","MHS"
"2","BAB"
"3","SIY"
"4","SUU"
"5","CVH"
"6","MMH"
"7","IZA"
"8","DVO"
"9","AUN"
"10","L35"
"11","LHM"
"12","LPC"
"13","PVF"
"14","HAF"
"15","O22"
"16","VIS"
"17","MER"
"18","TSP"
"19","O54"
"20","TRK"
"21","PTV"
"22","MHR"
"23","CIC"
"24","MCC"
"25","RBL"
"26","CQT"
"27","VNY"
"28","SMO"
"29","AVX"
"30","SMX"
"31","SAN"
"32","DAG"
"33","OXR"
"34","NZY"
"35","BLH"
"36","TRM"
"37","BLU"
"38","BAN"
"39","OKB"
"40","SDB"
"41","MAE"
"42","NSI"
"43","CXL"
"44","ONT"
"45","LAX"
"46","VCB"
"47","LGB"
"48","BUR"
"49","CCR"
"50","PRB"
"51","SNA"
"52","NZJ"
"53","OAK"
"54","SMF"
"55","OVE"
"56","SNS"
"57","SBA"
"58","RAL"
"59","SAC"
"60","MCE"
"61","MYF"
"62","STS"
"63","MYV"
"64","CNO"
"65","FCH"
"66","WVI"
"67","FAT"
"68","SDM"
"69","CRQ"
"70","MOD"
"71","ACV"
"72","RNM"
"73","LVK"
"74","IPL"
"75","RDD"
"76","HJO"
"77","HHR"
"78","PMD"
"79","SJC"
"80","PSP"
"81","FUL"
"82","APC"
"83","NTD"
"84","BFL"
"85","NFG"
"86","HWD"
"87","MRY"
"88","SCK"
"89","EDW"
"90","VBG"
"91","NKX"
"92","RIV"
"93","SLI"
"94","AAT"
"95","CMA"
"96","BYS"
"97","SVE"
"98","CEC"
"99","NUQ"
"100","NXF"
"101","WJF"
"102","NLC"
"103","EED"
"104","NXP"
"105","BIH"
"106","NID"
"107","AJO"
"108","SBP"
"109","UKI"
"110","SFO"
"111","NJK"
"112","PAO"
"113","RHV"
"114","SBD"
"115","TVL"
"116","SQL"
"117","VCV"
"118","SEE"
"119","TOA"
"120","NUC"
"121","NRS"
"122","MHV"
