"","DATE","ORIGIN","DEST","DEP_DELAY_GROUP","ARR_DELAY_GROUP","DEP","ARR"
"1",1,"ABQ","SFO",1,0,6,7
"2",3,"ABQ","SFO",-1,-1,6,7
"3",2,"ABQ","SFO",-1,0,6,7
"4",7,"ABQ","LAX",-1,-1,6,7
"5",4,"ABQ","LAX",-1,-1,6,7
"6",5,"ABQ","LAX",-1,0,6,7
"7",6,"ABQ","LAX",-1,0,6,7
"8",25,"ABQ","LAX",-1,-1,6,7
"9",26,"ABQ","LAX",-1,-1,6,7
"10",27,"ABQ","LAX",-1,-2,6,7
"11",20,"ABQ","LAX",-1,-2,6,7
"12",21,"ABQ","LAX",0,-1,6,7
"13",24,"ABQ","LAX",-1,-2,6,7
"14",18,"ABQ","LAX",-1,-1,6,7
"15",17,"ABQ","LAX",-1,-1,6,7
"16",19,"ABQ","LAX",-1,-1,6,7
"17",11,"ABQ","LAX",-1,-1,6,7
"18",10,"ABQ","LAX",-1,0,6,7
"19",12,"ABQ","LAX",-1,-1,6,7
"20",13,"ABQ","LAX",-1,-2,6,7
"21",14,"ABQ","LAX",-1,-2,6,7
"22",28,"ABQ","LAX",-1,-2,6,7
"23",31,"ABQ","LAX",-1,-1,6,7
"24",22,"ABQ","LAX",-1,-2,6,7
"25",15,"ABQ","LAX",-1,-2,6,7
"26",29,"ABQ","LAX",-1,-1,6,7
"27",8,"ABQ","LAX",-2,-2,6,7
"28",3,"ABQ","LAX",-1,0,6,7
"30",9,"ABQ","SFO",0,0,6,8
"31",23,"ABQ","SFO",-1,0,6,8
"32",30,"ABQ","SFO",0,0,6,8
"33",2,"ABQ","LAX",0,1,6,7
"34",4,"ABQ","SFO",1,1,6,8
"35",5,"ABQ","SFO",-1,-2,6,8
"37",26,"ABQ","SFO",-1,-1,6,8
"38",25,"ABQ","SFO",-1,0,6,8
"39",27,"ABQ","SFO",-1,0,6,8
"40",24,"ABQ","SFO",-1,-2,6,8
"41",20,"ABQ","SFO",-1,-1,6,8
"42",21,"ABQ","SFO",-1,-1,6,8
"43",19,"ABQ","SFO",0,0,6,8
"44",14,"ABQ","SFO",-1,0,6,8
"45",18,"ABQ","SFO",-1,-2,6,8
"46",7,"ABQ","SFO",-1,-2,6,8
"47",6,"ABQ","SFO",0,0,6,8
"48",10,"ABQ","SFO",-1,-1,6,8
"49",11,"ABQ","SFO",0,0,6,8
"50",13,"ABQ","SFO",-1,-2,6,8
"51",12,"ABQ","SFO",-1,-1,6,8
"52",28,"ABQ","SFO",0,-1,6,8
"53",31,"ABQ","SFO",0,-1,6,8
"54",22,"ABQ","SFO",-1,0,6,8
"55",15,"ABQ","SFO",-1,-1,6,8
"56",8,"ABQ","SFO",-1,0,6,8
"57",29,"ABQ","SFO",-1,-1,6,8
"58",2,"ABQ","OAK",1,1,8,9
"59",3,"ABQ","LAX",2,3,8,9
"60",3,"ABQ","OAK",0,-1,8,9
"61",4,"ABQ","LAX",1,1,8,9
"62",4,"ABQ","OAK",1,1,8,9
"63",9,"ABQ","LAX",-1,-1,8,9
"64",9,"ABQ","OAK",-1,-1,8,9
"65",10,"ABQ","LAX",0,0,8,9
"66",10,"ABQ","OAK",0,0,8,9
"68",11,"ABQ","OAK",0,0,8,9
"69",12,"ABQ","LAX",-1,-2,8,9
"70",12,"ABQ","OAK",-1,-1,8,9
"71",13,"ABQ","LAX",0,-1,8,9
"72",13,"ABQ","OAK",-1,-1,8,9
"73",14,"ABQ","LAX",0,-1,8,9
"74",14,"ABQ","OAK",0,-1,8,9
"75",16,"ABQ","LAX",-1,-2,8,9
"76",16,"ABQ","OAK",-1,-2,8,9
"77",17,"ABQ","LAX",-1,-1,8,9
"79",18,"ABQ","LAX",-1,-1,8,9
"80",18,"ABQ","OAK",-1,-1,8,9
"81",19,"ABQ","LAX",-1,-1,8,9
"82",19,"ABQ","OAK",-1,-1,8,9
"83",20,"ABQ","LAX",-1,-2,8,9
"84",20,"ABQ","OAK",-1,-2,8,9
"85",21,"ABQ","LAX",-1,-1,8,9
"86",21,"ABQ","OAK",-1,-1,8,9
"87",23,"ABQ","LAX",-1,-1,8,9
"88",23,"ABQ","OAK",-1,-2,8,9
"89",24,"ABQ","LAX",-1,-2,8,9
"90",24,"ABQ","OAK",-1,-1,8,9
"91",25,"ABQ","LAX",0,-1,8,9
"92",25,"ABQ","OAK",-1,-2,8,9
"93",26,"ABQ","LAX",-1,-1,8,9
"94",26,"ABQ","OAK",-1,-2,8,9
"95",27,"ABQ","LAX",0,-2,8,9
"96",27,"ABQ","OAK",-1,-2,8,9
"97",28,"ABQ","LAX",0,-2,8,9
"98",28,"ABQ","OAK",-1,-2,8,9
"99",30,"ABQ","LAX",-1,-1,8,9
"100",30,"ABQ","OAK",-1,-1,8,9
"101",31,"ABQ","LAX",-1,-1,8,9
"102",31,"ABQ","OAK",-1,-2,8,9
"103",5,"ABQ","LAX",-1,-1,8,9
"104",5,"ABQ","OAK",-1,-2,8,9
"105",6,"ABQ","LAX",-1,-1,8,9
"106",6,"ABQ","OAK",0,-2,8,9
"107",7,"ABQ","LAX",-1,-1,8,9
"108",7,"ABQ","OAK",0,-1,8,9
"109",2,"ABQ","LAX",1,2,8,9
"110",3,"ABQ","SAN",0,0,8,9
"111",4,"ABQ","SAN",1,1,8,9
"112",10,"ABQ","SAN",-1,-1,8,9
"113",11,"ABQ","SAN",1,0,8,9
"114",12,"ABQ","SAN",-1,-2,8,9
"115",13,"ABQ","SAN",0,-1,8,9
"116",14,"ABQ","SAN",-1,-2,8,9
"117",17,"ABQ","SAN",0,-2,8,9
"118",18,"ABQ","SAN",0,-1,8,9
"119",19,"ABQ","SAN",-1,-1,8,9
"120",20,"ABQ","SAN",0,-2,8,9
"121",21,"ABQ","SAN",-1,-2,8,9
"122",24,"ABQ","SAN",-1,-2,8,9
"123",25,"ABQ","SAN",0,-1,8,9
"124",26,"ABQ","SAN",-1,-2,8,9
"125",27,"ABQ","SAN",7,6,8,9
"126",28,"ABQ","SAN",0,-2,8,9
"127",31,"ABQ","SAN",0,-1,8,9
"128",15,"ABQ","LAX",-1,-2,9,10
"129",15,"ABQ","OAK",0,-1,9,10
"130",22,"ABQ","LAX",-1,-2,9,10
"131",22,"ABQ","OAK",-1,-2,9,10
"132",29,"ABQ","LAX",-1,-2,9,10
"133",29,"ABQ","OAK",-1,-2,9,10
"134",1,"ABQ","LAX",0,0,9,10
"135",1,"ABQ","OAK",0,0,9,10
"136",8,"ABQ","LAX",-1,-1,9,10
"137",8,"ABQ","OAK",-1,-1,9,10
"138",5,"ABQ","SAN",0,-2,9,10
"139",6,"ABQ","SAN",-1,-1,9,10
"140",7,"ABQ","SAN",0,-1,9,10
"141",2,"ABQ","SAN",2,1,10,11
"142",1,"ABQ","SAN",0,-1,10,11
"143",8,"ABQ","SAN",5,4,10,11
"144",4,"ABQ","LAX",-1,-1,10,12
"145",23,"ABQ","LAX",-1,-2,10,12
"146",16,"ABQ","LAX",-1,-1,10,12
"147",9,"ABQ","LAX",-1,-1,10,12
"148",30,"ABQ","LAX",-1,1,10,12
"149",5,"ABQ","LAX",0,-1,10,12
"150",24,"ABQ","LAX",-1,-1,10,12
"151",21,"ABQ","LAX",-1,-1,10,12
"152",20,"ABQ","LAX",-1,-2,10,12
"153",27,"ABQ","LAX",0,-1,10,12
"154",26,"ABQ","LAX",-1,0,10,12
"155",25,"ABQ","LAX",-1,-2,10,12
"156",19,"ABQ","LAX",-1,-2,10,12
"157",17,"ABQ","LAX",-1,-1,10,12
"158",18,"ABQ","LAX",-1,-2,10,12
"159",10,"ABQ","LAX",-1,-1,10,12
"161",7,"ABQ","LAX",-1,0,10,12
"162",14,"ABQ","LAX",0,-1,10,12
"163",13,"ABQ","LAX",-1,-1,10,12
"164",12,"ABQ","LAX",-1,-1,10,12
"165",31,"ABQ","LAX",-1,-2,10,12
"166",28,"ABQ","LAX",1,1,10,12
"167",6,"ABQ","LAX",0,-1,10,12
"168",22,"ABQ","LAX",-1,0,11,12
"169",8,"ABQ","LAX",-1,-1,11,12
"170",15,"ABQ","LAX",-1,-1,11,12
