FL_DATE,CARRIER,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY_NEW,ARR_DELAY_NEW,CANCELLED,CARRIER_DELAY,WEATHER_DELAY
1/1/2011,OO,6298,ABQ,SFO,600,15,14,0,,
1/2/2011,OO,6298,ABQ,SFO,600,0,3,0,,
1/3/2011,OO,6298,ABQ,SFO,600,0,0,0,,
1/4/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/5/2011,OO,6471,ABQ,LAX,602,0,6,0,,
1/6/2011,OO,6471,ABQ,LAX,602,0,3,0,,
1/7/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/10/2011,OO,6471,ABQ,LAX,602,0,2,0,,
1/11/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/12/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/13/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/14/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/17/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/18/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/19/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/20/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/21/2011,OO,6471,ABQ,LAX,602,1,0,0,,
1/24/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/25/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/26/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/27/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/28/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/31/2011,OO,6471,ABQ,LAX,602,0,0,0,,
1/8/2011,OO,6471,ABQ,LAX,604,0,0,0,,
1/15/2011,OO,6471,ABQ,LAX,604,0,0,0,,
1/22/2011,OO,6471,ABQ,LAX,604,0,0,0,,
1/29/2011,OO,6471,ABQ,LAX,604,0,0,0,,
1/3/2011,OO,6536,ABQ,LAX,645,0,8,0,,
1/9/2011,OO,6336,ABQ,SFO,651,6,8,0,,
1/16/2011,OO,6336,ABQ,SFO,651,0,,0,,
1/23/2011,OO,6336,ABQ,SFO,651,0,1,0,,
1/30/2011,OO,7034,ABQ,SFO,651,1,11,0,,
1/2/2011,OO,6536,ABQ,LAX,653,10,20,0,10,0
1/4/2011,OO,6695,ABQ,SFO,658,16,21,0,16,0
1/5/2011,OO,6695,ABQ,SFO,658,0,0,0,,
1/6/2011,OO,7034,ABQ,SFO,658,6,8,0,,
1/7/2011,OO,7034,ABQ,SFO,658,0,0,0,,
1/10/2011,OO,7034,ABQ,SFO,658,0,0,0,,
1/11/2011,OO,7034,ABQ,SFO,658,4,10,0,,
1/12/2011,OO,7034,ABQ,SFO,658,0,0,0,,
1/13/2011,OO,7034,ABQ,SFO,658,0,0,0,,
1/14/2011,OO,7034,ABQ,SFO,658,0,14,0,,
1/17/2011,OO,7034,ABQ,SFO,658,0,,0,,
1/18/2011,OO,7034,ABQ,SFO,658,0,0,0,,
1/19/2011,OO,7034,ABQ,SFO,658,5,9,0,,
1/20/2011,OO,7034,ABQ,SFO,658,0,0,0,,
1/21/2011,OO,7034,ABQ,SFO,658,0,0,0,,
